sample_id,Sr_Ca_measurement,Sr_Ca_precision
456823,0.07153074269756,
456824,0.0473872835388742,
456825,0.105830536071817,
456826,0.123501453464453,
456827,0.104869591740068,
456828,0.0916439990097069,
456829,0.124291978707531,
456830,0.113255633781213,
456831,0.109616954061443,
456832,0.115650913366205,
456833,0.104429216104207,
456834,0.123556869093809,
456835,0.102164557521885,
456836,0.0892541239555531,
456837,0.0841169432568185,
456838,0.106854517475212,
456839,0.147464522219072,
456840,0.135249453114398,
456841,0.10024955642236,
456842,0.114362324241526,
456843,0.145122660286685,
456844,0.100667547161073,
456845,0.104278701179758,
456846,0.106663694806772,
456847,0.0935801197160487,
456848,0.0783351257052978,
456849,0.0886285818401798,
456850,0.090946965730092,
456851,0.105621959086371,
456852,0.0888964805609301,
456853,0.102885136131753,
456854,0.112694557456418,
456855,0.109202180582543,
456856,0.0986156338451304,
456857,0.0903321538978891,
456858,0.0949453337713874,
456859,0.0780683638878816,
456860,0.101349535396205,
456861,0.0905378340744758,
456862,0.103133877268691,
456863,0.100093375609131,
456864,0.131723439163574,
456865,0.148857283809862,
456866,0.11568839476354,
456867,0.144741228728325,
456868,0.132314392986147,
456869,0.119357220334087,
456870,0.0981296923345223,
456871,0.126047700886248,
456872,0.129276928722634,
456873,0.119067067163869,
456874,0.11067339402265,
456875,0.104647054907081,
456876,0.108528706118892,
456877,0.130924368661715,
456878,0.110764650697099,
456879,0.137005818278426,
456880,0.140994892462864,
456881,0.114693174805404,
456882,0.133495781574942,
456883,0.11459152464943,
456884,0.143309947417318,
456885,0.134366342864175,
456886,0.101285830531934,
456887,0.106169161009432,
456888,0.0850869288439562,
456889,0.0823267417609816,
456890,0.137431479694041,
456891,0.136403620417998,
456892,0.113621356516127,
456893,0.0953638583013843,
456894,0.139564848384058,
456895,0.111530788392963,
456896,0.131610797045237,
456897,0.121718240048735,
456898,0.132263202073438,
456899,0.132586612690622,
456900,0.113979547260082,
456901,0.0974494749583432,
456902,0.115779957508428,
456903,0.10665849196161,
456904,0.11597717653216,
456905,0.0981800823545653,
456906,0.10216276012672,
456907,0.111211307251664,
456908,0.15264693501457,
456909,0.152625921565914,
456910,0.135208274213852,
456911,0.139668336777896,
456912,0.127993770185946,
456913,0.0938963904852472,
456914,0.122367178976545,
456915,0.0865987555663119,
