sample_id,Mg_Ca_measurement,Mg_Ca_precision
456823,11.5469966328464,
456824,7.64024894313414,
456825,6.02032647581482,
456826,7.39772371125281,
456827,5.05678850754428,
456828,5.50942349584522,
456829,8.43135516433141,
456830,9.08963424969777,
456831,11.1966511731451,
456832,11.7713407782939,
456833,10.348081710513,
456834,9.79087778851753,
456835,9.02663242475939,
456836,7.11315125125014,
456837,8.60293478672217,
456838,7.98499816371103,
456839,9.07497947646155,
456840,8.91213245221378,
456841,8.70782148536801,
456842,8.7933798681159,
456843,14.6473672735938,
456844,6.73650416877296,
456845,8.16063523676169,
456846,6.2926452104657,
456847,6.15625173123342,
456848,6.27671015578316,
456849,6.48380508718502,
456850,6.80672306019486,
456851,4.33253418817788,
456852,4.06230824403467,
456853,5.15127796614973,
456854,5.02593649475905,
456855,6.31435075085764,
456856,9.00522289677816,
456857,10.8513519525732,
456858,10.3808869080065,
456859,6.11303485952963,
456860,7.8083110886528,
456861,8.52444477290251,
456862,10.6599945734513,
456863,9.30327731965122,
456864,10.7430285354942,
456865,8.42830477771497,
456866,6.83250633443636,
456867,8.6034588536243,
456868,9.18251247219958,
456869,9.1934844523083,
456870,6.77648827023344,
456871,8.4900535961762,
456872,9.85538623361495,
456873,9.37146742086575,
456874,10.0280612457328,
456875,12.8716012737118,
456876,11.8566398075302,
456877,21.4286462896403,
456878,19.4825391484927,
456879,24.2383432374281,
456880,20.7576393054766,
456881,17.5857257344483,
456882,19.0880226489977,
456883,18.5745487807076,
456884,16.9052213602175,
456885,17.9595441303245,
456886,19.6454873233137,
456887,11.3588965726956,
456888,11.896860021259,
456889,6.66286257902132,
456890,18.4364335882348,
456891,16.3754211802778,
456892,15.2037301407035,
456893,11.4985110616559,
456894,15.253669268975,
456895,14.2768532664771,
456896,15.1576323850921,
456897,17.7114925879749,
456898,22.6783647148217,
456899,20.6258166114183,
456900,26.6426224049284,
456901,23.9499144920359,
456902,23.382333893635,
456903,19.7134223815067,
456904,16.9258494335742,
456905,19.0586323292005,
456906,22.2626482151497,
456907,20.1181510847914,
456908,22.2418189992889,
456909,20.7815991695964,
456910,17.1903034161106,
456911,19.662625533358,
456912,19.6992630035305,
456913,16.7928667144934,
456914,15.9736242315632,
456915,19.2393229350741,
456916,14.5963987249075,
456918,16.1690309288597,
456919,18.1566429912329,
456920,20.0942058725177,
456921,19.2802464727944,
456922,18.6184725599239,
456923,25.7254731337223,
456924,21.5673393344015,
456925,16.5620073296665,
456926,17.385682629553,
456927,15.6333187322132,
456928,17.3993563097495,
456929,20.1241999377907,
456930,18.6728071971853,
456931,22.0930627505012,
456932,23.7670008282973,
456933,22.0140715625428,
456934,20.9090755713402,
456935,21.7636583760653,
456936,19.4046877184755,
456937,17.6124667049196,
456938,23.0892986627072,
456939,22.0751460738029,
456940,18.913746444896,
456941,17.0877313575712,
456942,21.2342567806204,
456943,24.391700540599,
456944,24.9427902104911,
456945,24.2500735083992,
456946,24.8016567045181,
456947,24.6097351961855,
456948,11.5469966328464,
456949,17.6659057087264,
456950,20.7823869759148,
456951,19.3308463564978,
456952,20.3083452845066,
456953,20.6162731561808,
456954,21.6368554282562,
456955,19.5454005904203,
456956,17.7047967124213,
456957,16.6182984731721,
456958,13.4856444961603,
456959,14.6020943458233,
456960,16.6260698290615,
456961,14.7929563025564,
456963,15.8223554824179,
456965,15.7782238952799,
456967,12.2704988639361,
456969,12.7596532307373,
456971,12.940952290808,
456973,13.1103662660954,
456974,11.318298351586,
456975,7.86429423060282,
456976,9.34113857527239,
456977,9.88728457948721,
456978,10.5511497302626,
456979,13.1782840002803,
456980,14.0598379217277,
456981,16.3687741821427,
456982,15.6682045545566,
456983,16.3053116938768,
456986,10.9109753630093,
456990,14.1525936682055,
456992,12.3366133050879,
456994,11.5089058743959,
456995,14.5923448983574,
456996,11.5092202635105,
456997,10.57635166029,
456998,11.5153819516964,
456999,17.1607083127355,
457000,14.8844553742202,
457001,13.726533183381,
457002,14.5244949657408,
457003,14.790143511028,
457004,16.0228277100897,
457006,15.2857138139896,
