sample_id,Ba_Ca_measurement,Ba_Ca_precision
456823,0.00113582761334198,
456824,0.000576033791899242,
456825,0.00148313188627469,
456826,0.00176394772613784,
456827,0.00141714929535468,
456828,0.00106641666277081,
456829,0.00167114848988286,
456830,0.00167996274139099,
456831,0.00200706665886407,
456832,0.00197289151950244,
456833,0.00158629979950606,
456834,0.00186484943090965,
456835,0.00144206675498681,
456836,0.00108482013779874,
456837,0.00131099933508746,
456838,0.00180426171665926,
456839,0.0022322316214297,
456840,0.00242080538433461,
456841,0.0016039632708054,
456842,0.00188737368290836,
456843,0.00300532906377573,
456844,0.00133896383181391,
456845,0.00154391414685026,
456846,0.00145080718222054,
456847,0.00126793796908506,
456848,0.00119047430409206,
456849,0.0014398247582682,
456850,0.00135541123847438,
456851,0.00236846309196942,
456852,0.00110345862947461,
456853,0.00133857985496031,
456854,0.00342884857298419,
456855,0.00152690129148203,
456856,0.00141609639901221,
456857,0.00112058187636601,
456858,0.00122787529429755,
456859,0.000832798748882373,
456860,0.0011381929589811,
456861,0.00102448133073213,
456862,0.00131050405646532,
456863,0.00121917181222467,
456864,0.0053590863950906,
456865,0.00149505085660919,
456866,0.00111874613039718,
456867,0.00245758547313067,
456868,0.00139088573083976,
456869,0.00115633124032294,
456870,0.000943950329369078,
456871,0.00144500486013584,
456872,0.00176225046931906,
456873,0.00145936407038379,
456874,0.00137993800015227,
456875,0.00166228246082717,
456876,0.00167696839408643,
456877,0.00249034745276219,
456878,0.00180891561327175,
456879,0.00272101051958522,
456880,0.0029125441277229,
456881,0.00252673806854747,
456882,0.0027750256435551,
456883,0.00202219092541795,
456884,0.00270579301863059,
456885,0.00215135218542335,
456886,0.00211877522912853,
456887,0.00224305169388774,
456888,0.00141194790357866,
456889,0.000967102105436876,
456890,0.00315337608049759,
456891,0.0030611821499196,
456892,0.00232108026509823,
456893,0.00165674266181964,
456894,0.00202856778810688,
456895,0.00226930504616036,
456896,0.00287512192937067,
456897,0.00237082895818481,
456898,0.00281025896081127,
456899,0.00283667921160487,
456900,0.00193537429026959,
456901,0.00152442986914584,
456902,0.00201018821681612,
456903,0.00207357564990036,
456904,0.00224031602631856,
456905,0.00159434563510855,
456906,0.00197186703218716,
456907,0.00179664171805969,
456908,0.0026991320544778,
456909,0.00269792591577283,
456910,0.00269192436970672,
456911,0.00280786792633899,
456912,0.0028249950620044,
456913,0.00162113447795369,
456914,0.00249159611872449,
456915,0.00126001271555693,
456916,0.000827144146936574,
456918,0.00136528714234381,
456919,0.00142057910034007,
456920,0.00165605712635341,
456921,0.00158562788082801,
456922,0.00156704691934217,
456923,0.00180133383949517,
456924,0.00153222117801532,
456925,0.00167706473357519,
456926,0.000596065255638659,
456927,0.000537830035378679,
456928,0.000431264313077839,
456929,0.000514383565579851,
456930,0.000713456390687644,
456931,0.000457049764431139,
456932,0.000707793880869641,
456933,0.000553785275722292,
456934,0.000827252433617511,
456935,0.000931923398330515,
456936,0.00273088296879026,
456937,0.00056418222131039,
456938,0.000501706552681094,
456939,0.000739836579498312,
456940,0.00069992055158044,
456941,0.0006142573645205,
456942,0.000399600320668441,
456943,0.000717174683489768,
456944,0.000782341445240179,
456945,0.00068340172081183,
456946,0.00064242934817526,
456947,0.000668528728810843,
456948,0.000634041985960557,
456949,0.0599682872515539,
456950,0.0824238506072555,
456951,0.0806598865212891,
456952,0.0796669000302584,
456953,0.0731464904635819,
456954,0.0690880559316251,
456955,0.0653702459213517,
456956,0.066258481777794,
456957,0.0703478498267719,
456958,0.0589976242398548,
456959,0.0625969221917926,
456960,0.0627298618084214,
456961,0.0587644373315174,
456963,0.0608918124037622,
456965,0.0528693243478349,
456967,0.0677463463201887,
456969,0.0629652653697469,
456971,0.070713769152478,
456973,0.0679129135146159,
456974,0.0529767115505737,
456975,0.0536642339019352,
456976,0.0575944859981632,
456977,0.0468975360764301,
456978,0.0632229560428639,
456979,0.0809182871579884,
456980,0.0747938555003063,
456981,0.0685304778555422,
456982,0.0697195062903995,
456983,0.0612940079635316,
456986,0.059148116804336,
456990,0.0585643052908519,
456992,0.0604733776849045,
456994,0.0543857234566299,
456995,0.0586085395232668,
456996,0.0441834305185471,
456997,0.0520044929112634,
456998,0.0532819020171146,
456999,0.0601331121189564,
457000,0.0660583516452444,
457001,0.074190364507666,
457002,0.0679574716287795,
457003,0.0639500354689134,
457004,0.0718923121287876,
457006,0.0591413295415734,
457007,0.0379569595074344,
457008,0.042062295446432,
457009,0.0359390275558977,
457010,0.0551251370032696,
457011,0.0519664477860353,
457012,0.0480896536960595,
457013,0.0591514965325586,
457014,0.0569588739736587,
457015,0.0633524318379006,
457016,0.0626674170747151,
457017,0.049802704786031,
457018,0.0435448665737002,
457019,0.0511022713294206,
